iter	Passed	Remaining
0	210	210521
1	222	111213
2	233	77592
3	243	60510
4	253	50519
5	263	43635
6	274	38880
7	286	35577
8	296	32681
9	307	30436
10	321	28864
11	332	27375
12	343	26056
13	354	24986
14	367	24103
15	377	23191
16	389	22514
17	402	21980
18	421	21746
19	433	21222
20	443	20662
21	454	20210
22	465	19780
23	475	19335
24	486	18985
25	499	18699
26	508	18339
27	519	18040
28	531	17783
29	540	17479
30	552	17267
31	563	17039
32	573	16793
33	584	16592
34	597	16478
35	608	16293
36	618	16085
37	628	15919
38	639	15764
39	653	15695
40	678	15873
41	693	15811
42	710	15822
43	727	15812
44	742	15748
45	751	15581
46	762	15454
47	773	15336
48	782	15196
49	797	15150
50	811	15093
51	824	15027
52	833	14898
53	849	14878
54	863	14839
55	874	14747
56	886	14665
57	897	14578
58	910	14514
59	922	14444
60	931	14343
61	942	14264
62	953	14187
63	963	14097
64	1014	14595
65	1052	14900
66	1078	15016
67	1093	14992
68	1116	15065
69	1163	15456
70	1178	15424
71	1201	15490
72	1211	15389
73	1222	15301
74	1234	15223
75	1244	15124
76	1255	15054
77	1269	15004
78	1282	14946
79	1293	14874
80	1305	14809
81	1316	14739
82	1326	14650
83	1337	14580
84	1348	14513
85	1357	14429
86	1368	14358
87	1378	14283
88	1388	14209
89	1399	14151
90	1415	14140
91	1428	14099
92	1438	14033
93	1449	13974
94	1460	13913
95	1470	13843
96	1482	13801
97	1492	13737
98	1502	13670
99	1514	13634
100	1527	13597
101	1539	13550
102	1550	13498
103	1561	13452
104	1571	13392
105	1582	13343
106	1593	13299
107	1603	13243
108	1615	13201
109	1626	13163
110	1636	13106
111	1647	13062
112	1658	13020
113	1669	12974
114	1681	12941
115	1693	12901
116	1702	12850
117	1716	12827
118	1728	12798
119	1739	12757
120	1749	12711
121	1760	12668
122	1771	12628
123	1780	12579
124	1792	12550
125	1807	12537
126	1828	12566
127	1859	12669
128	1873	12646
129	1883	12604
130	1899	12602
131	1913	12581
132	1930	12582
133	1943	12558
134	1957	12541
135	1966	12495
136	1980	12472
137	1992	12444
138	2005	12421
139	2015	12379
140	2029	12365
141	2044	12351
